Year Company,Set Name,Player Name,Card Number,Cert ,GRADE,TOTAL,Surface,Corners & Edges,Centering,Creases/Dents,Additional Notes,@GradeImg,@SubImg,@QRcode
2024 Panini,2023-24 Revolution - Rookie Revolution - RC,Amen Thompson,#15,444513,DEGREE 8,8,3,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444513.eps
2023 Panini,2023 Prizm - Draft Picks,Joe Burrow - PURPLE WAVE,#52,444514,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444514.eps
2023 Panini,2023 Chronicles - Draft Picks - Revolution - RC,Christian Gonzalez,#52,444515,DEGREE 9,9,3,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3231.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444515.eps
2021 Panini,2021 Score - 1991 Throwback Rookie - RC,Trevor Lawrence,#TB1,444516,DEGREE 7,7,2,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-7.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444516.eps
2024 Topps,Update Series - RC - 511/999,Christian Scott - BLUE HOLOFOIL,#US218,444517,DEGREE 9,9,3,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3231.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444517.eps
2025 Panini,2024-25 Revolution - Hardwood Legacy - RC,Zaccharie Risacher,#21,444518,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444518.eps
2021 Panini,2021 Chronicles - Draft Picks - Prestige - RC,Jaylen Waddle,#85,444519,DEGREE 9,9,3,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3231.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444519.eps
2022 Topps,2021 Chrome - Platinum Anniversary,Roberto Clemente,#301,444520,DEGREE 8,8,2,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2231.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444520.eps
2025 Topps,2025-26 Flagship Collection - RC,Tre Johnson III - RAINBOW,#206,444521,DEGREE 8,8,3,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444521.eps
2024 Topps,2024 Stadium Club,Jackie Robinson - BLACK & WHITE,#28,444522,DEGREE 9,9,3,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3231.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444522.eps
2023 Panini,2022-23 NBA Hoops - RC,Nikola Jovic,#256,444523,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444523.eps
2024 Topps,2024 Stadium Club,Roberto Clemente,#239,444524,DEGREE 8,8,3,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444524.eps
2025 Pokemon,S&V - White Flare,Bouffalant ex - HOLO,#77,444525,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444525.eps
2020 Pokemon,SWSH - Rebel Clash,Eiscue V,#55,444526,DEGREE 8,8,3,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444526.eps
2022 Pokemon,SWSH - Brilliant Stars,Moltres - HOLO,#21,444527,DEGREE 7,7,2,3,1,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-7.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2311.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444527.eps
2022 Pokemon,SWSH - Pokemon GO,Professor's Research/Professor Willow - FA,#78,444528,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444528.eps
2025 Pokemon,S&V - Destined Rivals,Crustle - HOLO,#12,444529,DEGREE 8,8,2,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2231.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444529.eps
2024 Pokemon,S&V - Temporal Forces,Feraligatr - HOLO,#41,444530,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444530.eps
2022 Pokemon,SWSH - Astral Radiance,Radiant Greninja - HOLO,#46,444531,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444531.eps
2024 Pokemon,S&V - Temporal Forces,Bronzor - FA - SECRET,#170,444532,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444532.eps
2023 Pokemon,S&V - Paradox Rift,Steelix - HOLO,#125,444533,DEGREE 9,9,3,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3231.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444533.eps
2025 Pokemon,S&V - Black Bolt,Klinklang - REVERSE HOLO,#63,444534,DEGREE 9,9,2,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2331.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444534.eps
2024 Pokemon,S&V - Temporal Forces,Iron Boulder ex - HOLO,#99,444535,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444535.eps
2022 Pokemon,SWSH - Pokemon GO,Radiant Venusaur - HOLO,#4,444536,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444536.eps
2023 Pokemon,SWSH - Crown Zenith,Galarian Meowth - REVERSE HOLO,#84,444537,DEGREE 9,9,3,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3231.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444537.eps
2021 Pokemon,SWSH - Evolving Skies,Milotic - REVERSE HOLO,#38,444538,DEGREE 8,8,3,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444538.eps
2022 Pokemon,SWSH - Lost Origin,Machoke - REVERSE HOLO,#87,444539,DEGREE 8,8,3,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444539.eps
1988 Pacific,Legends I,Willie Mays,#24,444614,DEGREE 6,6,2,2,1,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-6.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2211.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444614.eps
2024 Topps,NOW,"Stephen Curry - PR: 89,838",#27,444615,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444615.eps
1979 Topps,Oakland Raiders,Jack Tatum,#326,444616,DEGREE 5,5,1,2,1,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-5.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-1211.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444616.eps
2024 Topps,NOW,"Stephen Curry/LeBron James/Kevin Durant - PR: 588,030",#26,444617,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444617.eps
1990 Score,,Bo Jackson,#697,444618,DEGREE 7,7,2,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-7.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444618.eps
1985 Topps,USFL,Sam Mills,#19,444596,DEGREE 8,8,2,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2231.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444596.eps
1985 Topps,USFL,Doug Flutie,#80,444597,DEGREE 7,7,2,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-7.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444597.eps
2025 Panini,2024 Contenders - Rookie Ticket RPS - Variation - RC - AUTO,Spencer Rattler,#116,444598,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444598.eps
1977 Topps,Rookies - Outfielders,Andre Dawson/Gene Richards/John Scott/Denny Walling,#473,444599,DEGREE 6,6,2,2,1,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-6.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2211.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444599.eps
1996 Upper Deck,Collector's Choice - Los Angeles Lakers,Kobe Bryant/Elden Campbell/Derek Fisher,#L1,444600,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444600.eps
1985 Topps,Boston Red Sox,Roger Clemens,#181,444601,DEGREE 7,7,2,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-7.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444601.eps
2025 Topps,2025 All-Star Game,Pete Crow-Armstrong,#31,444681,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444681.eps
2023 Topps,Series 2 - Favorite Sons,Dansby Swanson,#FS-6,444682,DEGREE 9,9,3,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3231.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444682.eps
2024 Topps,2024 Stadium Club - Chrome - RC,Shota Imanaga - REFRACTOR,#240,444683,DEGREE 8,8,3,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444683.eps
2025 Topps,2025 Heritage - Chrome,Shota Imanaga - AQUA SPARKLE,#399,444684,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444684.eps
2024 Topps,2024 Chrome - 122/350,Seiya Suzuki - MAGENTA SPECKLE,#13,444685,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444685.eps
2025 Topps,2025 Holiday - Mega Box,Kyle Tucker - LIGHT BLUE & WHITE GLITTER,#H26,444686,DEGREE 9,9,3,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3231.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444686.eps
2022 Panini,2022 Chronicles - Titan - RC,Seiya Suzuki - BUILDING BLOCKS,#4,444687,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444687.eps
2022 Panini,2022 Prizm - 087/199,Ian Happ - BLUE DONUT CIRCLES,#9,444688,DEGREE 7,7,2,3,1,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-7.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2311.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444688.eps
2023 Pokemon,S&V - Obsidian Flames,Ninetales - FA - SECRET,#199,444763,DEGREE 8,8,3,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444763.eps
2024 Pokemon,S&V - Temporal Forces,Gastly - FA - SECRET,#177,444764,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444764.eps
2024 Pokemon,Trick or Trade 2024,Gengar - HOLO,#57,444765,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444765.eps
2019 Pokemon,S&M - Team Up,Dragonite - COSMOS HOLO,#119,444766,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444766.eps
2021 Pokemon,SWSH - Celebrations,Mew - HOLO,#11,444767,DEGREE 8,8,2,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2231.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444767.eps
1999 Pokemon,Base - Unlimited,Alakazam - HOLO,#1,444795,DEGREE 7,7,2,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-7.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444795.eps
2000 Pokemon,Neo Genesis,Azumarill - HOLO,#2,444796,DEGREE 7,7,2,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-7.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00444796.eps
2024 Upper Deck,2023 Marvel - Platinum - AUTO - 03/35,Beast - Art By Narendra Adi - ORANGE,#75,443888,DEGREE 3,3,2,3,2,-4,Circular dent found on the front of the card - Located within the upper-left corner of the artwork,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-3.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-232-4.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00443888.eps
2024 Upper Deck,2023 Marvel - Platinum - AUTO - 21/35,Mysterio - Art By Gil Martimiano - ORANGE,#57,443889,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00443889.eps
2024 Upper Deck,2023 Marvel - Platinum - AUTO - 15/25,Hulk - Artist: Carlo Pagulayan - ORANGE,#145,443890,DEGREE 9,9,2,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2331.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00443890.eps
2024 Upper Deck,2023 Marvel - Platinum - AUTO - 14/15,Black Widow - Writer: Kelly Thompson - BLUE,#176,443891,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00443891.eps
2024 Upper Deck,2023 Marvel - Platinum - AUTO - 13/15,Grim Reaper - Writer: Jim Shooter - BLUE,#137,443892,DEGREE 9,9,2,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2331.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00443892.eps
2021 Kayou,Marvel - Hero Battle - Series 2 - 1st Edition,Spider-Man - MR,#MW02-001,443893,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00443893.eps
2022 Kayou,Marvel - Hero Battle - Series 3 - 1st Edition,Spider-Man - MR,#MW03-001,443894,DEGREE 8,8,2,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2231.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00443894.eps
2022 Kayou,Marvel - Hero Battle - Series 3 - 1st Edition,Doctor Doom - CR,#MW03-007,443895,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00443895.eps
2022 Kayou,Marvel - Hero Battle - Series 4 - 1st Edition,Miles Morales - CR,#MW04-006,443896,DEGREE 8,8,2,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2231.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00443896.eps
